TAXON (original),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,ID_ITIS,APHIAID_WORMS,CLASS,ORDER,FAMILY
Geophilidae sp.,Geophilidae,,WoRMS,553111,105475,Chilopoda,Geophilomorpha,Geophilidae
Linotaeniidae sp.,Linotaeniidae,,WoRMS,913869,105476,Chilopoda,Geophilomorpha,Linotaeniidae
Geophilomorpha sp.,Geophilomorpha,,WoRMS,154404,105472,Chilopoda,Geophilomorpha,
Lithobiidae? sp.,Lithobiidae,,WoRMS,555700,394574,Chilopoda,Lithobiomorpha,Lithobiidae
Lithobiomorpha sp.,Lithobiomorpha,,WoRMS,553110,394572,Chilopoda,Lithobiomorpha,
Scolopendridae sp.,Scolopendridae,,WoRMS,913862,450025,Chilopoda,Scolopendromorpha,Scolopendridae
Scolopocryptopidae sp.,Scolopocryptopidae,,ITIS,913863,,Chilopoda,Scolopendromorpha,Scolopocryptopidae
Chilopoda sp.,Chilopoda,,WoRMS,154400,1304,Chilopoda,,
Onscidea sp.,Oniscidea,,WoRMS,93223,146505,Crustacea,Oniscidea,
Conotyla sp.,Conotyla sp.,,WoRMS,,891319,Diplopoda,Chordeumatida,Conotylidae
Parajulidae sp.,Parajulidae,,WoRMS,553114,888760,Diplopoda,Julida,Parajulidae
Julida sp.,Julida,,WoRMS,154418,105473,Diplopoda,Julida,
Diplopoda sp.,Diplopoda,,WoRMS,154409,1305,Diplopoda,,
